url,name,date,country,region,number_of_players
/tournament/73B9B65C-0218-498C-BAA6-BE28A45D9FB1,Buffalo Wild Wednesdays v2.2.3,28 February 2024,,,
/tournament/D6D74F22-EE98-4A98-A877-FFA67B1899AE,One Up Melee 2.28.24,28 February 2024,,,
/tournament/C64BF0C6-EFC4-48BB-B233-75F788660917,New Game Plus Revival 5.14,27 February 2024,,,
/tournament/5606ECBA-25E5-4C2F-89CF-50674D0DF789,Free Play Melee #57,26 February 2024,,,
/tournament/93A0DBFF-E2C7-4266-9672-8888338262EC,ESG Melee Weekly #59,25 February 2024,,,
/tournament/863F2455-1AEB-45A0-A995-8D9D218D9AA6,Vermont Melee Monthly February 2024,24 February 2024,,,
/tournament/0092B541-CFF4-4A1C-AADF-04EB5A5ADF0D,Beantown Lean House I,24 February 2024,,,
/tournament/690E7AB9-F018-4289-B5B0-5968383AE2E5,Return to Vacationland,24 February 2024,,,
/tournament/67CCF300-747D-4272-B523-2BB58396700A,Pho Tai Melee: #39 - $50 Pot Bonus!,23 February 2024,,,
/tournament/3CB37B05-C815-4696-A654-22C5CA791C4C,Prodigy Smash Weekly #121,23 February 2024,,,
/tournament/5D94EC68-5459-496A-A612-50171064113A,HoG: Phoenix 5.17,22 February 2024,,,
/tournament/7E0DB861-4BC9-4B5D-A1BC-3CEA546CBE99,Buffalo Wild Wednesdays v2.2.2,21 February 2024,,,
/tournament/31948EA0-6B96-4F53-A985-3E01B74374B2,One Up Melee 2.21.24,21 February 2024,,,
/tournament/99ABC2A7-F4B3-464D-BDF7-0877051AC6B7,Free Play Melee #56,19 February 2024,,,
/tournament/F0CABC2C-0FEC-48F9-AC54-25CFEE48FF20,SmashUMA: Fox Fury,17 February 2024,,,
/tournament/9983B2B0-4371-47E6-9BB7-5F31DB74D0A8,The ESG Monthly #22: The SSB Event,17 February 2024,,,
/tournament/61FDD4B9-D518-4BBA-AC99-E13841025372,Pho Tai Melee: #38 - $50 Pot Bonus!,16 February 2024,,,
/tournament/43D5232C-B9A5-4B42-830D-8DA0A8B3A175,Prodigious Smash Reloaded #120,16 February 2024,,,
/tournament/406C2ED0-42F3-40C4-9F94-7CB7E4EDAD65,HoG: Phoenix 5.16,15 February 2024,,,
