encounter_id,winner_url,winner,loser_url,loser,winner_score,loser_score,winner_rating,loser_rating,new_winner_rating,new_loser_rating
126,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/AE6FA720-F196-4B8B-A6B9-9EBC810F8A1F,Hysteric,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/AE6FA720-F196-4B8B-A6B9-9EBC810F8A1F,Hysteric,Hysteric,3,25.0,25.0,29.39583201999916,20.604167980000835
123,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/62E74BF0-2516-47FB-9904-8B687A4DEFC9,Rat Rattington,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/62E74BF0-2516-47FB-9904-8B687A4DEFC9,Rat Rattington,Rat Rattington,3,25.0,25.0,29.39583201999916,20.604167980000835
128,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/9532FC9C-736F-448B-834A-D1CC2341C1F9,MG / NHPR | Golden,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/9532FC9C-736F-448B-834A-D1CC2341C1F9,MG / NHPR | Golden,MG / NHPR | Golden,3,25.0,25.0,29.39583201999916,20.604167980000835
124,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/251476DF-8717-4A1B-87B0-CA997BBDC897,HoG | The Baconator,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/251476DF-8717-4A1B-87B0-CA997BBDC897,HoG | The Baconator,HoG | The Baconator,3,25.0,25.0,29.39583201999916,20.604167980000835
94,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/903E1473-2420-4D37-BD00-D5E4B08DBD1F,OUG | Electroman,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/903E1473-2420-4D37-BD00-D5E4B08DBD1F,OUG | Electroman,OUG | Electroman,3,25.0,25.0,29.39583201999916,20.604167980000835
127,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/62E74BF0-2516-47FB-9904-8B687A4DEFC9,Rat Rattington,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/62E74BF0-2516-47FB-9904-8B687A4DEFC9,Rat Rattington,Rat Rattington,3,25.0,25.0,29.39583201999916,20.604167980000835
132,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/551B06D1-38AA-4E07-9C1D-F7A45B475323,Eddy Connecticut,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/551B06D1-38AA-4E07-9C1D-F7A45B475323,Eddy Connecticut,Eddy Connecticut,3,25.0,25.0,29.39583201999916,20.604167980000835
136,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6F85C7F-7625-42D7-8590-980E832C70C6,HotPeppers,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6F85C7F-7625-42D7-8590-980E832C70C6,HotPeppers,HotPeppers,3,25.0,25.0,29.39583201999916,20.604167980000835
134,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/0151C725-DC9A-4BD1-AC88-1A4AB86DE81E,Jio,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/0151C725-DC9A-4BD1-AC88-1A4AB86DE81E,Jio,Jio,3,25.0,25.0,29.39583201999916,20.604167980000835
140,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/021BC5A2-CA8C-4151-A0CC-623F64C0E8BC,TeaKay,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/021BC5A2-CA8C-4151-A0CC-623F64C0E8BC,TeaKay,TeaKay,3,25.0,25.0,29.39583201999916,20.604167980000835
142,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A6E8966D-43F7-44B4-9CF9-11A07847E2D4,HSG | RyuCloud,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A6E8966D-43F7-44B4-9CF9-11A07847E2D4,HSG | RyuCloud,HSG | RyuCloud,3,25.0,25.0,29.39583201999916,20.604167980000835
130,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/488DEFB6-DD5E-4BA3-B865-82433E634088,hc | Newquake,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/488DEFB6-DD5E-4BA3-B865-82433E634088,hc | Newquake,hc | Newquake,3,25.0,25.0,29.39583201999916,20.604167980000835
138,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/FC799493-E066-4FE8-B41A-7163CDD5A83F,N0va | WAS | N0va,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/FC799493-E066-4FE8-B41A-7163CDD5A83F,N0va | WAS | N0va,1,N0va | WAS | N0va,25.0,25.0,29.39583201999916,20.604167980000835
144,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,zaubermaus,3,25.0,25.0,29.39583201999916,20.604167980000835
147,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/26D4A774-A067-467A-8E7A-C1DCD52E9F8A,Guex,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/26D4A774-A067-467A-8E7A-C1DCD52E9F8A,Guex,Guex,3,25.0,25.0,29.39583201999916,20.604167980000835
148,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E9AC8BCC-9BD0-4DE2-B0D8-37AABEEF76F2,HoG | Brub,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E9AC8BCC-9BD0-4DE2-B0D8-37AABEEF76F2,HoG | Brub,HoG | Brub,3,25.0,25.0,29.39583201999916,20.604167980000835
